epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.874,1.72527,2.68728,1.90069,0.32612,0.35751,0.24748,0.09885,2.02254,2.79718,2.05923,0.000664399,0.000664399,0.000664399
2,353.143,1.73255,2.16859,1.87991,0.47963,0.36473,0.33372,0.13983,2.16654,2.09724,2.12018,0.00126518,0.00126518,0.00126518
3,523.193,1.71255,2.01403,1.85,0.48117,0.36128,0.31551,0.11272,2.28437,3.67724,2.33915,0.00179996,0.00179996,0.00179996
4,689.345,1.66702,1.93568,1.80594,0.53717,0.4355,0.41579,0.19886,1.93113,1.92547,1.94597,0.001703,0.001703,0.001703
5,856.937,1.59999,1.85494,1.75686,0.54605,0.41427,0.39138,0.1632,2.03187,2.62215,1.99765,0.001604,0.001604,0.001604
6,1021.8,1.54999,1.76365,1.7128,0.56111,0.39803,0.39298,0.20126,1.7925,1.99633,1.7504,0.001505,0.001505,0.001505
7,1190.48,1.49173,1.69173,1.6587,0.60443,0.45496,0.46668,0.25072,1.72344,1.7295,1.6638,0.001406,0.001406,0.001406
8,1356.71,1.47374,1.64359,1.63367,0.58646,0.43495,0.44048,0.23975,1.63341,1.78216,1.60915,0.001307,0.001307,0.001307
9,1523.05,1.44862,1.62662,1.62265,0.65232,0.46103,0.49834,0.29131,1.53576,1.65669,1.54379,0.001208,0.001208,0.001208
10,1690.53,1.43036,1.57644,1.61095,0.62228,0.43816,0.47583,0.26181,1.64635,1.73657,1.62369,0.001109,0.001109,0.001109
11,1854.92,1.45869,1.66348,1.66647,0.64942,0.48325,0.51491,0.30296,1.55173,1.57656,1.55518,0.00101,0.00101,0.00101
12,2020.3,1.44715,1.54603,1.64165,0.64016,0.52322,0.56664,0.3395,1.49992,1.45476,1.4721,0.000911,0.000911,0.000911
13,2183.99,1.3897,1.47977,1.60522,0.67838,0.54193,0.59609,0.36007,1.47467,1.36837,1.46626,0.000812,0.000812,0.000812
14,2346.53,1.35945,1.43247,1.58111,0.65929,0.52075,0.5733,0.35269,1.44559,1.39536,1.44616,0.000713,0.000713,0.000713
15,2508.48,1.32551,1.39008,1.54794,0.66627,0.547,0.58822,0.36523,1.42096,1.36845,1.41642,0.000614,0.000614,0.000614
16,2671.07,1.30134,1.3346,1.52998,0.69754,0.56302,0.62492,0.38776,1.43142,1.29756,1.42111,0.000515,0.000515,0.000515
17,2832.38,1.2796,1.31815,1.51336,0.69795,0.57047,0.62565,0.39581,1.37161,1.26478,1.36133,0.000416,0.000416,0.000416
18,2997.29,1.2582,1.29624,1.49324,0.69922,0.5831,0.63765,0.41103,1.34807,1.23224,1.34481,0.000317,0.000317,0.000317
19,3159.29,1.24945,1.26967,1.47664,0.74354,0.59128,0.65852,0.42323,1.34223,1.17763,1.33107,0.000218,0.000218,0.000218
20,3320.35,1.21839,1.2226,1.45703,0.73556,0.59921,0.66196,0.43971,1.27843,1.14839,1.29529,0.000119,0.000119,0.000119
